OBJECTID,gouvernora,CODE_GOUV,Shape__Are,Shape__Len,nbr2014,cap2014,nbr2015,cap2015,nbr2016,cap2016,nbr2017,cap2017,nbr2018,cap2018,Shape__Area,Shape__Length
1,Ariana,12,0.04225288,1.667062,3,213,3,213,4,318,4,218,4,370,655217916.265137,206029.955864124
2,Beja,21,0.3681952,4.386774,1,102,1,102,1,102,1,102,1,102,5689735685.05713,540001.047411272
3,Ben Arous,13,0.06667102,1.843213,4,152,4,152,3,106,4,209,5,309,1029555324.06592,225960.469125048
4,Bizerte,17,0.3581038,5.83976,1,46,1,46,1,46,2,148,2,148,5562263446.36621,712538.794418644
5,Gabes,51,0.7290807,4.510895,3,73,3,73,3,73,3,73,4,121,10870180511.075,544037.495591751
6,Gafsa,61,0.7403994,4.604977,1,39,1,39,1,39,1,39,1,39,11120103376.6619,549906.326931626
7,Jendouba,22,0.3133256,3.638983,3,66,3,66,3,66,3,66,3,66,4838504589.81982,442296.047382465
8,Kairouan,41,0.6486657,4.952815,1,35,1,35,1,35,2,143,2,143,9888022004.37939,612508.472384145
9,Kasserine,42,0.8123627,4.984891,1,24,1,24,1,24,1,24,1,24,12322619332.3718,607583.32073635
10,Kebeli,63,2.174184,7.504424,1,20,1,20,1,20,1,20,1,20,32227706901.4607,898218.425292872
11,Le Kef,23,0.510567,4.16699,1,15,1,15,1,15,1,15,1,15,7824059735.77271,514610.96658231
12,Mahdia,33,0.2875622,4.064377,2,63,2,124,2,124,2,124,2,124,4367581227.10889,500207.691329017
13,Manouba,14,0.1130447,2.284262,0,0,0,0,0,0,0,0,0,0,1749105369.16895,281415.926357094
14,Mednine,52,0.8966382,9.75714,6,406,6,407,7,529,7,529,7,529,13270857943.0708,1174629.08811106
15,Monastir,32,0.1017238,2.266733,5,133,5,284,5,284,5,284,5,284,1550319317.80615,277771.778811669
16,Nabeul,15,0.2837698,3.286118,6,235,6,235,6,235,8,420,8,514,4385528741.06543,407461.060521716
17,Sfax,34,0.6899992,7.545189,13,701,13,767,13,780,13,780,15,981,10408889200.5371,917430.929052847
18,Sidi Bouzid,43,0.7327152,5.524483,0,0,0,0,0,0,0,0,0,0,11066589382.7505,670746.553807875
19,Siliana,24,0.4685278,5.590023,0,0,0,0,0,0,0,0,0,0,7181523899.58765,684527.428670578
20,Sousse,31,0.2187266,3.60706,7,228,7,228,7,228,7,228,7,270,3347173878.65234,452158.970557429
21,Tataouine,53,3.62044,11.07319,0,0,0,0,0,0,0,0,0,0,52898611454.0476,1337209.7121754
22,Tozeur,62,0.5907553,3.798989,0,0,0,0,0,0,0,0,0,0,8823649321.5249,463414.086960629
23,Tunis,11,0.02650256,1.607154,29,1541,32,2190,30,2114,32,2137,32,2259,410177995.480957,196823.377747831
24,Zaghouan,16,0.2869196,3.355678,0,0,0,0,0,0,1,60,1,52,4413285277.1665,414962.427223979
